cidade,área,quartos,banheiros,vagas garagem,andar,animal,mobiliado,condomínio,valor aluguel,valor IPTU,valor seguro,total,valor aluguel reduzido
Belo Horizonte,422,3,1,4,6,0,1,3162,3142,1567,97,7968,2436.982864191428
Florianópolis,125,5,1,3,19,1,0,1620,6875,698,165,9358,4989.833310872029
Uberlândia,78,5,1,4,18,1,1,2641,6895,1004,122,10662,5482.757923636895
Belo Horizonte,58,4,4,1,19,1,1,167,7356,587,28,8138,5247.466809613912
Sorocaba,442,4,2,1,16,0,1,4268,6745,1016,177,12206,4948.830787090084
Serra,183,3,2,4,13,1,0,2689,1847,1695,53,6284,1369.8614893555934
Belo Horizonte,374,5,3,0,4,1,1,12,7390,1979,17,9398,5906.046728044237
Niterói,461,4,3,4,6,1,1,635,9916,225,23,10799,7691.344738334529
Jundiaí,264,1,4,1,12,1,0,3223,2104,1687,53,7067,1595.1306546226717
Porto Velho,481,4,4,4,7,1,0,1552,4099,1941,44,7636,3024.078195394843
Rio de Janeiro,322,4,1,0,14,1,0,2162,3820,800,25,6807,2698.1573912194895
Uberlândia,79,1,2,4,7,0,1,4284,7203,1872,163,13522,5602.070803963295
Piracicaba,231,4,1,0,6,0,0,4066,4220,1121,112,9519,3106.6309671209656
Feira de Santana,311,1,3,4,11,0,0,1940,5852,896,30,8718,4189.202750081341
Montes Claros,298,5,4,2,0,1,1,2248,8046,1326,59,11679,6128.060125822258
Aparecida de Goiânia,148,3,2,4,3,1,1,2223,8765,991,73,12052,7002.9410083016455
Betim,219,3,3,0,15,0,1,3987,971,1248,77,6283,733.5440954263687
Aparecida de Goiânia,301,5,2,1,3,1,1,4493,2359,1144,38,8034,1725.2791996700728
Porto Alegre,277,3,3,4,16,0,0,1469,7298,1541,113,10421,5267.3588414975675
Montes Claros,322,3,3,2,11,1,1,2249,8402,434,162,11247,6479.8897943855245
Recife,42,5,3,3,1,0,0,3856,2222,189,171,6438,1771.1129378301382
Jaboatão dos Guararapes,126,5,2,2,8,1,1,3223,8834,1228,168,13453,6673.105641986796
Osasco,395,5,4,2,1,0,1,826,7892,949,138,9805,5936.57799233497
Maringá,201,2,4,2,9,1,0,4345,6663,1156,151,12315,5149.621288700951
Campinas,204,5,4,3,18,1,0,2268,9569,898,167,12902,7004.939190445883
Duque de Caxias,176,3,2,3,7,1,1,684,6987,676,170,8517,5555.373177178564
Guarulhos,76,1,2,0,12,0,1,1438,5654,866,59,8017,4006.2878555944144
Manaus,116,1,1,0,16,1,1,1641,7507,1674,177,10999,5444.386282567246
Manaus,439,5,1,0,5,1,0,2995,6231,924,195,10345,4832.140133546783
Porto Velho,244,3,4,4,10,1,1,3058,4507,1340,171,9076,3175.160851822826
Londrina,74,5,3,0,13,0,1,506,8294,1583,66,10449,6055.35708928979
Rio de Janeiro,55,2,4,4,12,0,0,3443,9763,326,66,13598,7420.691556154924
Ribeirão Preto,447,5,3,2,4,1,0,2997,8366,139,102,11604,6634.598823270062
Santo André,251,4,2,2,4,0,1,3845,6845,1400,127,12217,4812.82345105749
Belém,405,1,1,2,5,0,1,388,2863,492,111,3854,2232.3082950662874
Maringá,150,2,2,1,18,1,0,2574,9445,1275,170,13464,7315.062715972454
Jundiaí,379,5,3,1,7,1,1,858,7380,1878,99,10215,5520.620143053723
Florianópolis,243,5,1,4,8,0,1,2641,2086,182,172,5081,1475.7287563881687
Campo Grande,110,1,2,4,11,1,0,577,3435,1251,168,5431,2648.2620279766484
São Luís,170,5,2,0,7,1,0,4397,5619,1104,169,11289,4440.751203978478
Macapá,466,5,3,1,0,1,0,3846,645,211,185,4887,460.8452114666757
Campinas,290,3,1,3,13,0,0,1276,4325,1249,128,6978,3218.1733898606676
Natal,468,2,1,2,0,1,0,3468,7717,1251,138,12574,5562.420516677729
São Luís,93,2,3,4,12,0,1,2031,527,1029,27,3614,401.45736186026147
Betim,273,2,2,0,8,1,1,1365,6472,1267,38,9142,5092.229161305944
Vitória,177,4,2,2,12,1,0,4244,7656,234,196,12330,6075.513477079774
São José dos Campos,161,1,3,1,2,1,0,3558,1619,505,11,5693,1148.590448789613
Rio de Janeiro,467,2,3,3,19,1,1,4287,599,444,75,5405,420.1771656152814
Vitória,134,3,1,3,0,0,0,2945,4817,1436,82,9280,3439.330916553485
São Paulo,346,3,4,4,19,1,0,2107,8111,363,46,10627,6062.956173233726
Caxias do Sul,74,5,3,4,8,0,0,1148,9490,1728,188,12554,7331.897331501949
Ananindeua,24,5,2,3,4,1,1,1251,1898,277,77,3503,1355.5790415581191
Brasília,278,5,2,2,19,1,0,1393,2755,570,66,4784,2090.25480430451
Jundiaí,245,5,1,4,3,1,1,4086,8753,1603,56,14498,6661.8540855465435
Campinas,485,4,2,3,5,0,0,3239,2586,137,70,6032,2042.9858745941526
